scenario,repeat_seed,model,n_train,n_test,split_stratification_mode,accuracy,precision,recall,f1,roc_auc,pr_auc
scenario3_majority_ct_plus_demo,105,Gradient Boosting,158,42,target_plus_cohort,0.5952380952380952,0.5625,0.47368421052631576,0.5142857142857142,0.6109839816933639,0.6758957747360044
scenario3_majority_ct_plus_demo,105,SVM (RBF),158,42,target_plus_cohort,0.6666666666666666,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.7528604118993135,0.7636141789881401
scenario3_majority_ct_plus_demo,106,Logistic Regression,158,42,target_plus_cohort,0.7380952380952381,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.7482837528604119,0.7172950638507913
scenario3_majority_ct_plus_demo,106,Random Forest,158,42,target_plus_cohort,0.5714285714285714,0.5384615384615384,0.3684210526315789,0.4375,0.6864988558352403,0.5787723475943921
scenario3_majority_ct_plus_demo,106,Gradient Boosting,158,42,target_plus_cohort,0.5476190476190477,0.5,0.3684210526315789,0.42424242424242425,0.4851258581235698,0.4998042234799031
scenario3_majority_ct_plus_demo,106,SVM (RBF),158,42,target_plus_cohort,0.6666666666666666,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.6430205949656751,0.6029868652871201
scenario3_majority_ct_plus_demo,107,Logistic Regression,158,42,target_plus_cohort,0.8095238095238095,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8634259259259259,0.8599454543468992
scenario3_majority_ct_plus_demo,107,Random Forest,158,42,target_plus_cohort,0.7380952380952381,0.6666666666666666,0.7777777777777778,0.717948717948718,0.7083333333333333,0.6277156245915035
scenario3_majority_ct_plus_demo,107,Gradient Boosting,158,42,target_plus_cohort,0.6904761904761905,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.6967592592592593,0.6320495151301788
scenario3_majority_ct_plus_demo,107,SVM (RBF),158,42,target_plus_cohort,0.6904761904761905,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.7499999999999999,0.6576807111802868
scenario3_majority_ct_plus_demo,108,Logistic Regression,159,41,target_plus_cohort,0.7560975609756098,0.8888888888888888,0.47058823529411764,0.6153846153846154,0.7965686274509804,0.811640164953769
scenario3_majority_ct_plus_demo,108,Random Forest,159,41,target_plus_cohort,0.6585365853658537,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.6715686274509803,0.6362719370899053
scenario3_majority_ct_plus_demo,108,Gradient Boosting,159,41,target_plus_cohort,0.6585365853658537,0.6,0.5294117647058824,0.5625,0.7058823529411766,0.6902934186152179
scenario3_majority_ct_plus_demo,108,SVM (RBF),159,41,target_plus_cohort,0.7317073170731707,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.7132352941176471,0.7668667426781017
scenario3_majority_ct_plus_demo,109,Logistic Regression,161,39,target_plus_cohort,0.6666666666666666,0.8571428571428571,0.3333333333333333,0.48,0.8624338624338624,0.8179645699253542
scenario3_majority_ct_plus_demo,109,Random Forest,161,39,target_plus_cohort,0.6153846153846154,0.8,0.2222222222222222,0.34782608695652173,0.783068783068783,0.752028689830267
scenario3_majority_ct_plus_demo,109,Gradient Boosting,161,39,target_plus_cohort,0.5897435897435898,0.5833333333333334,0.3888888888888889,0.4666666666666667,0.5740740740740741,0.5303088821509874
scenario3_majority_ct_plus_demo,109,SVM (RBF),161,39,target_plus_cohort,0.5128205128205128,0.42857142857142855,0.16666666666666666,0.24,0.6335978835978836,0.5936392232638362
scenario4_majority_demo_only,100,Logistic Regression,157,43,target_plus_cohort,0.5348837209302325,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.6469298245614035,0.6260138547222618
scenario4_majority_demo_only,100,Random Forest,157,43,target_plus_cohort,0.4883720930232558,0.4117647058823529,0.3684210526315789,0.3888888888888889,0.493421052631579,0.5695450423821747
scenario4_majority_demo_only,100,Gradient Boosting,157,43,target_plus_cohort,0.46511627906976744,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.42105263157894735,0.474878498456191
scenario4_majority_demo_only,100,SVM (RBF),157,43,target_plus_cohort,0.6511627906976745,0.7,0.3684210526315789,0.4827586206896552,0.5614035087719298,0.6638926726537168
scenario4_majority_demo_only,101,Logistic Regression,155,45,target_plus_cohort,0.7111111111111111,0.7692307692307693,0.5,0.6060606060606061,0.904,0.856350588583729
scenario4_majority_demo_only,101,Random Forest,155,45,target_plus_cohort,0.6444444444444445,0.75,0.3,0.42857142857142855,0.6720000000000002,0.6744367783428546
scenario4_majority_demo_only,101,Gradient Boosting,155,45,target_plus_cohort,0.5555555555555556,0.5,0.2,0.2857142857142857,0.52,0.5779290424043685
scenario4_majority_demo_only,101,SVM (RBF),155,45,target_plus_cohort,0.7111111111111111,0.7692307692307693,0.5,0.6060606060606061,0.652,0.6656079714010749
scenario4_majority_demo_only,102,Logistic Regression,159,41,target_plus_cohort,0.4634146341463415,0.25,0.1111111111111111,0.15384615384615385,0.5024154589371981,0.4534448591359161
scenario4_majority_demo_only,102,Random Forest,159,41,target_plus_cohort,0.43902439024390244,0.2222222222222222,0.1111111111111111,0.14814814814814814,0.4492753623188406,0.4242707148270496
scenario4_majority_demo_only,102,Gradient Boosting,159,41,target_plus_cohort,0.5365853658536586,0.47058823529411764,0.4444444444444444,0.45714285714285713,0.5386473429951691,0.5111532114028868
scenario4_majority_demo_only,102,SVM (RBF),159,41,target_plus_cohort,0.5609756097560976,0.5,0.2222222222222222,0.3076923076923077,0.6376811594202898,0.5274624295457628
