scenario_number,scenario,model,repeats,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_ci95_lower,roc_auc_ci95_upper,accuracy_mean,accuracy_ci95_lower,accuracy_ci95_upper,precision_mean,precision_ci95_lower,precision_ci95_upper,recall_mean,recall_ci95_lower,recall_ci95_upper,f1_mean,f1_ci95_lower,f1_ci95_upper,rmse_mean,rmse_ci95_lower,rmse_ci95_upper
3,scenario3_majority_ct_plus_demo,SVM (RBF),30,0.6700224469977375,0.09313915068412949,0.6617224880382775,0.5100364134975119,0.8198501461988303,0.6260090844888737,0.475,0.7809941520467836,0.6011235788635169,0.393125,0.8491758241758242,0.4611518174521271,0.16425438596491226,0.717616959064327,0.5146232274992998,0.2351111111111111,0.7343837535014004,,,
3,scenario3_majority_ct_plus_demo,Gradient Boosting,30,0.6079422966899971,0.10247358366093853,0.602974828375286,0.42273652882205515,0.8210694444444444,0.5875934150825185,0.4351676829268293,0.7794005847953216,0.550968727327423,0.38821428571428573,0.759704968944099,0.4429312865497076,0.19846491228070173,0.7680555555555553,0.4792188389538311,0.28655394524959743,0.7690459110473458,,,
4,scenario4_majority_demo_only,Logistic Regression,30,0.6655978128096425,0.11891121776082976,0.6653794813119756,0.4611528822055138,0.8910305555555555,0.5970917524525311,0.41045058139534885,0.8026190476190477,0.557103686429134,0.27589285714285716,0.8235294117647058,0.4410137885563582,0.10950292397660819,0.7809941520467836,0.47986734393780606,0.16314102564102564,0.7715811965811966,,,
4,scenario4_majority_demo_only,SVM (RBF),30,0.6156541177834577,0.10134065462304159,0.6240530303030303,0.4495673927465723,0.811391304347826,0.5860292267147359,0.40792682926829266,0.7366071428571428,0.5458054931288879,0.25665584415584414,0.7552884615384615,0.439661736039445,0.1713622291021672,0.8039473684210525,0.4728434255904922,0.19822580645161292,0.7388111888111888,,,
4,scenario4_majority_demo_only,Random Forest,30,0.5633001512172106,0.10439196674821422,0.5656969309462916,0.3516472340270968,0.7361601830663613,0.5431512847572494,0.372484756097561,0.6958730158730159,0.4792450818302212,0.14500000000000002,0.7552884615384615,0.37216933264533886,0.07631578947368421,0.6030701754385964,0.41078154861427696,0.1,0.6180288461538461,,,
4,scenario4_majority_demo_only,Gradient Boosting,30,0.5155746447201646,0.1163147425916149,0.5169649122807017,0.3170385202135775,0.7231121281464531,0.5229860628329148,0.3828779069767442,0.6788344407530453,0.4446941810912399,0.16730769230769232,0.7335227272727273,0.33017658525398463,0.04027777777777778,0.5877923976608187,0.371042785764897,0.06590909090909092,0.6159126984126985,,,
5,scenario5_h3d_agree_ct_only,Logistic Regression,30,0.8214374907189665,0.07722892833800464,0.8557692307692308,0.6822916666666667,0.9177004419191919,0.7369785441816866,0.591676267281106,0.858270474137931,0.7420640933140933,0.5173076923076922,1.0,0.6004412254412254,0.3553030303030303,0.843181818181818,0.6491096411287105,0.4444444444444444,0.8157142857142856,,,
5,scenario5_h3d_agree_ct_only,Random Forest,30,0.8247305643774296,0.08026546962267565,0.8527890238416554,0.6595052083333333,0.9315498737373737,0.7312198037100707,0.5874999999999999,0.864516129032258,0.7492788203082321,0.5187179487179487,1.0,0.5726134976134977,0.3553030303030303,0.7552884615384615,0.6368358075692989,0.43801169590643274,0.805,,,
5,scenario5_h3d_agree_ct_only,Gradient Boosting,30,0.7959010279008344,0.07538260662120748,0.7950708061002179,0.6547409188034188,0.9234068627450981,0.7256801608970685,0.5781105990783411,0.8584975369458128,0.7143549043549043,0.5,1.0,0.6078421578421579,0.31666666666666665,0.8181818181818182,0.6425231613045407,0.43267045454545455,0.805,,,
5,scenario5_h3d_agree_ct_only,SVM (RBF),30,0.7770058483732374,0.07577378714770377,0.7754435107376284,0.6451822916666667,0.8946821152703506,0.7046110035681782,0.5616071428571429,0.8407119021134591,0.7184170459170459,0.4568376068376068,1.0,0.52003552003552,0.2857142857142857,0.8181818181818182,0.5859024377558671,0.4,0.7912499999999998,,,
6,scenario6_original_ct_plus_demo,Logistic Regression,30,0.8919553253667566,0.052987565910001394,0.889795918367347,0.8084033948507633,0.986030701754386,0.8183890862459839,0.7123693379790941,0.9290282392026579,0.8178053369790033,0.683695652173913,1.0,0.8214764183185236,0.6449342105263158,1.0,0.8134461048496006,0.704264705882353,0.9228828828828829,,,
6,scenario6_original_ct_plus_demo,SVM (RBF),30,0.8492826622040789,0.07866370843078463,0.8513506852016168,0.6970432875667428,0.9754619565217391,0.8023769010331986,0.6522648083623693,0.9328343023255814,0.8240651831018974,0.614,0.9654761904761904,0.763249791144528,0.5065789473684211,1.0,0.7835499991867557,0.5933333333333334,0.933855981416957,,,
6,scenario6_original_ct_plus_demo,Gradient Boosting,30,0.8406766031632817,0.06772835787237147,0.8453184591914569,0.7016666666666667,0.9544580200501253,0.7793440427641252,0.6644308943089431,0.8839802631578947,0.7924958563580575,0.6332386363636363,1.0,0.7632083997873471,0.5434868421052632,1.0,0.7665421549380448,0.6320349761526233,0.8819050758075148,,,
6,scenario6_original_ct_plus_demo,Random Forest,30,0.8326166780959494,0.08342211761653992,0.832521645021645,0.6722298953906505,0.9762965838509315,0.7903145663875729,0.621486643437863,0.919767441860465,0.8239329633464106,0.5997491638795986,1.0,0.7276429710640236,0.48559210526315794,0.9637499999999999,0.7655856889071937,0.5461805555555557,0.9172023809523808,,,
7,scenario7_unanimous_ct_only,Logistic Regression,30,0.846845238095238,0.11241052155545962,0.8487554112554112,0.641017316017316,1.0,0.7694723942208462,0.6148897058823529,1.0,0.7395003145003145,0.5,1.0,0.7482142857142856,0.2857142857142857,1.0,0.7163906226212727,0.43222222222222223,1.0,,,
7,scenario7_unanimous_ct_only,Random Forest,30,0.8419297138047138,0.09154679762499444,0.8476190476190475,0.6569805194805195,0.96421875,0.7293775083132668,0.6048202614379086,0.8379166666666666,0.7342857142857143,0.5,1.0,0.5595238095238095,0.22053571428571428,0.8620535714285714,0.6132433851551499,0.3247474747474748,0.806470588235294,,,
7,scenario7_unanimous_ct_only,Gradient Boosting,30,0.7653342953342953,0.13331931177916423,0.8181818181818181,0.4799404761904762,0.9299107142857144,0.7089651416122005,0.5712074303405573,0.820641447368421,0.716084656084656,0.45416666666666666,1.0,0.5422619047619047,0.22053571428571428,0.9093749999999998,0.5874559164032848,0.2841880341880342,0.7715811965811966,,,
7,scenario7_unanimous_ct_only,SVM (RBF),30,0.8122943722943723,0.1086118086818152,0.8181818181818181,0.6075324675324675,0.9717532467532466,0.7125173431945877,0.5720588235294117,0.8841503267973856,0.7059523809523809,0.45416666666666666,1.0,0.5458333333333333,0.14285714285714285,0.8571428571428571,0.5945167087814146,0.23625000000000002,0.8571428571428571,,,
8,scenario8_unanimous_demo_only,Logistic Regression,30,0.9588311688311689,0.051023891341572744,0.9745129870129869,0.8333333333333334,1.0,0.8911555440889807,0.7069444444444444,1.0,0.8774440374440374,0.598931623931624,1.0,0.8809523809523809,0.675,1.0,0.8694587928411458,0.6897321428571429,1.0,,,
8,scenario8_unanimous_demo_only,SVM (RBF),30,0.9422474747474748,0.0700546878071044,0.9662337662337661,0.8024107142857143,1.0,0.8560658181401216,0.7177287581699346,1.0,0.8379449254449255,0.618125,1.0,0.8273809523809523,0.5321428571428571,1.0,0.8157825453413688,0.6111538461538462,1.0,,,
8,scenario8_unanimous_demo_only,Random Forest,30,0.9432611832611834,0.05943810365041283,0.9596861471861472,0.8158008658008657,1.0,0.8807266941864464,0.702266081871345,1.0,0.8997715247715248,0.6208333333333333,1.0,0.8095238095238095,0.2857142857142857,1.0,0.8350017406054558,0.4222222222222222,1.0,,,
8,scenario8_unanimous_demo_only,Gradient Boosting,30,0.9157263107263108,0.10553092840457037,0.9365079365079365,0.6601190476190476,1.0,0.8607876103657837,0.6259502923976608,1.0,0.8556613756613757,0.5,1.0,0.8,0.2857142857142857,1.0,0.8023771054653408,0.36363636363636365,1.0,,,
9,scenario9_unanimous_ct_plus_demo,Logistic Regression,30,0.9654341029341029,0.04909581236165351,0.974025974025974,0.8117857142857142,1.0,0.8974795034973053,0.7015522875816993,1.0,0.9028571428571428,0.6404761904761904,1.0,0.8509920634920635,0.48035714285714287,1.0,0.8663465292877057,0.5642857142857143,1.0,,,
9,scenario9_unanimous_ct_plus_demo,Random Forest,30,0.9115674603174603,0.07112163337984224,0.9362824675324675,0.7637337662337662,1.0,0.8154443297786951,0.6470588235294118,0.9459722222222222,0.8228403078403078,0.6483333333333333,1.0,0.7130952380952381,0.2857142857142857,1.0,0.7470410629388958,0.43222222222222223,0.9354901960784314,,,
9,scenario9_unanimous_ct_plus_demo,SVM (RBF),30,0.8968217893217894,0.08916790131161198,0.9253246753246753,0.7314285714285714,1.0,0.7808231567480793,0.5639705882352941,1.0,0.750906685906686,0.43125,1.0,0.698015873015873,0.14285714285714285,1.0,0.7054881066645772,0.2111111111111111,1.0,,,
9,scenario9_unanimous_ct_plus_demo,Gradient Boosting,30,0.8701208513708514,0.12799171599730944,0.8961038961038961,0.5806547619047618,1.0,0.7773532278408439,0.5400493421052632,0.9618421052631578,0.7350113775113775,0.39,1.0,0.7347222222222223,0.2857142857142857,1.0,0.7120974879953208,0.3553030303030303,0.9573529411764705,,,
10,scenario10_original_ct_only,Logistic Regression,30,0.5850392021610186,0.10995865151318254,0.5872009569377991,0.36450673785914056,0.8088636363636362,0.5734160360238069,0.4472851335656214,0.712063953488372,0.5619782221139066,0.4171875,0.7500816993464051,0.5561521227310702,0.33625,0.7074999999999999,0.5543868369064637,0.38839605734767024,0.6807692307692307,,,
10,scenario10_original_ct_only,SVM (RBF),30,0.5798347489676802,0.0909451463193193,0.5870839400873726,0.4328402589972956,0.763349567099567,0.5502856618635643,0.44219924812030076,0.6888719512195122,0.5506701087290904,0.3689338235294118,0.8091666666666667,0.45868838763575603,0.3157894736842105,0.7049999999999997,0.49411924676958313,0.34023809523809523,0.6536036036036036,,,
10,scenario10_original_ct_only,Gradient Boosting,30,0.5730558823990204,0.11243081261363412,0.579066985645933,0.39908466819221966,0.7982142857142857,0.5521630988317557,0.3958333333333333,0.7720079410096425,0.5534957765259623,0.32767857142857143,0.7741161616161616,0.43832308042834356,0.25953947368421054,0.7861309523809522,0.48267549252107134,0.28374811463046756,0.7749999999999999,,,
10,scenario10_original_ct_only,Random Forest,30,0.5695372582645235,0.10077537858743561,0.5636904761904762,0.3988498419962951,0.7218530020703934,0.54165606593018,0.39692982456140347,0.6898737373737373,0.5304468785428538,0.34424342105263156,0.7241071428571428,0.4521747550694919,0.23914473684210527,0.6868181818181818,0.48354187811792226,0.2920653907496013,0.6751937984496124,,,
11,scenario11_original_demo_only,Logistic Regression,30,0.9213756222083364,0.04815850853089181,0.9268767155985201,0.8444812925170069,1.0,0.8645181774812786,0.7741300366300367,0.9347996515679442,0.856809796724433,0.7262362637362637,1.0,0.8863503455608719,0.7,1.0,0.8634362562390538,0.7826315789473685,0.9356686046511627,,,
11,scenario11_original_demo_only,Random Forest,30,0.8876340551156594,0.06301017609676,0.8865288220551378,0.7728458284140103,0.9870874629756209,0.8330450616648635,0.7287436188315372,0.927308362369338,0.8515622693427579,0.7126488095238096,1.0,0.8076847421584264,0.49276315789473685,1.0,0.8187602772600809,0.6379464285714286,0.9241088180112571,,,
11,scenario11_original_demo_only,SVM (RBF),30,0.8791162116903001,0.05151986084272428,0.8723057644110276,0.7998654244306418,0.9703409090909091,0.7930857556911383,0.6732696566998893,0.9290282392026579,0.803485887590803,0.6552083333333333,0.9573529411764705,0.7804503683451052,0.47250000000000003,1.0,0.7781658517868648,0.567063492063492,0.9310852713178295,,,
11,scenario11_original_demo_only,Gradient Boosting,30,0.8544601440984468,0.055243980433924006,0.8548872180451128,0.7545238095238095,0.956547619047619,0.7720459403055605,0.6363095238095239,0.893568524970964,0.7766806765517112,0.6390384615384616,0.9573529411764705,0.7581047315257841,0.49276315789473685,1.0,0.7581907521778962,0.5766693163751988,0.882840980515399,,,
12,scenario12_vote_fraction_demo_only,Linear Regression,30,0.637362539401856,0.1108687743343544,0.6355731225296444,0.4652412280701755,0.8215396961606916,0.6260365341438273,0.49664634146341463,0.7815295169946332,0.5969557509913547,0.42529761904761904,0.8338461538461537,0.5365061346175897,0.3053362573099415,0.8039473684210525,0.558030963854867,0.3553030303030303,0.7335227272727273,0.30973164993612684,0.26056377546015763,0.37438648253148266
12,scenario12_vote_fraction_demo_only,Random Forest Regressor,30,0.6087486207462988,0.11402206231637747,0.6192105263157894,0.4008263412153572,0.8369374523264683,0.6059780290489757,0.4334593023255814,0.7932558139534883,0.5750198330794306,0.3641917293233083,0.8320833333333332,0.5018885448916408,0.19846491228070173,0.8791666666666664,0.5251218721233678,0.25870535714285714,0.7803113553113553,0.34685731949798726,0.28009630613777414,0.40361729715349565
12,scenario12_vote_fraction_demo_only,Gradient Boosting Regressor,30,0.5760502690982376,0.10073168861331251,0.5717592592592593,0.40271739130434786,0.7899241990846682,0.5670035436336149,0.42758928571428567,0.7611918604651162,0.52217799037924,0.32760416666666664,0.7481359649122804,0.4592993922715285,0.2737573099415205,0.7986111111111107,0.4776766662252285,0.3005793226381462,0.727016129032258,0.3640402777258898,0.2960043021130964,0.4281362793819347
12,scenario12_vote_fraction_demo_only,SVR (RBF),30,0.5796872009134,0.10321199809356672,0.562979913551996,0.4090776182881446,0.7446271929824562,0.5716475502275723,0.41630888491353607,0.6936931818181817,0.5136703899910814,0.24356060606060606,0.6833333333333332,0.441776172457287,0.1297514619883041,0.755190058479532,0.4602951371642684,0.17291666666666666,0.6884472049689441,0.37633974486872324,0.28953410090089193,0.4489407338281148
13,scenario13_vote_fraction_ct_plus_demo,Linear Regression,30,0.6992528729412687,0.08486052633099578,0.6972243442831678,0.5379352858293075,0.8569770213577422,0.6341135870831813,0.5139082462253194,0.7883928571428571,0.6072886971416384,0.4229567307692308,0.7841628959276018,0.5182421740626074,0.31805555555555554,0.7657894736842104,0.5517974159503848,0.3872390891840607,0.7632827949901121,0.3013261622570343,0.23724350166909927,0.35995343851592704
13,scenario13_vote_fraction_ct_plus_demo,Random Forest Regressor,30,0.6617299345366964,0.07942433355270587,0.6606598016781082,0.5266520467836256,0.8319266837169651,0.6340519804806904,0.5147893772893772,0.7433441558441558,0.6192396710043769,0.4375,0.7960256410256409,0.46792397660818713,0.20694444444444443,0.6714912280701754,0.5251641753345727,0.288896551724138,0.6876190476190475,0.312091452404301,0.25695571166470604,0.36224929336624095
13,scenario13_vote_fraction_ct_plus_demo,SVR (RBF),30,0.6288557977705777,0.10020795607227669,0.650038427755819,0.4514895330112721,0.8047735507246377,0.5991192552205479,0.4494878183831672,0.7576945412311266,0.5628476697594345,0.3553030303030303,0.8091666666666667,0.46908840729274165,0.21900584795321637,0.7033333333333331,0.5046398285791702,0.28814814814814815,0.6928571428571427,0.3294425409407885,0.26396724274804945,0.3900266782240519
13,scenario13_vote_fraction_ct_plus_demo,Gradient Boosting Regressor,30,0.637982037966014,0.08821371403841523,0.6425629290617849,0.48542663476874,0.7964190821256038,0.6024268057126224,0.4311011904761905,0.7172321428571429,0.5650547381468434,0.2882352941176471,0.7826923076923077,0.46628998968008256,0.23662280701754385,0.6714912280701754,0.50471210327987,0.26403940886699506,0.6536036036036036,0.32827159589026716,0.2671060038914395,0.38131475476807875
